item-icon href,item-icon-img src,item-icon-name
https://fnggcdn.com/items/2459/video.mp4,https://fortnite.gg/img/items/2459/icon.jpg?4,Lil' Sweeties
https://fnggcdn.com/items/5351/video.mp4,https://fortnite.gg/img/items/5351/icon.jpg?4,Oasis Wind
https://fnggcdn.com/items/5902/video.mp4,https://fortnite.gg/img/items/5902/icon.jpg?4,Octane Whomper
https://fnggcdn.com/items/5880/video.mp4,https://fortnite.gg/img/items/5880/icon.jpg?4,Power Pick
https://fnggcdn.com/items/5917/video.mp4,https://fortnite.gg/img/items/5917/icon.jpg?9,Cube Edge
https://fnggcdn.com/items/2313/video.mp4,https://fortnite.gg/img/items/2313/icon.jpg?6,Dark Splitter
https://fnggcdn.com/items/5922/video.mp4,https://fortnite.gg/img/items/5922/icon.jpg?5,Director's Scythe
https://fnggcdn.com/items/5879/video.mp4,https://fortnite.gg/img/items/5879/icon.jpg?4,NanaTech Blade
https://fnggcdn.com/items/5878/video.mp4,https://fortnite.gg/img/items/5878/icon.jpg?4,Neural-Scratch Claws
https://fnggcdn.com/items/5877/video.mp4,https://fortnite.gg/img/items/5877/icon.jpg?4,Lucky 8's
https://fnggcdn.com/items/5910/video.mp4,https://fortnite.gg/img/items/5910/icon.jpg?4,Umbra-Axe
https://fnggcdn.com/items/5881/video.mp4,https://fortnite.gg/img/items/5881/icon.jpg?4,Snake Sword
https://fnggcdn.com/items/5862/video.mp4,https://fortnite.gg/img/items/5862/icon.jpg?4,Hidan's Scythe
https://fnggcdn.com/items/5864/video.mp4,https://fortnite.gg/img/items/5864/icon.jpg?4,Kunai
https://fnggcdn.com/items/5863/video.mp4,https://fortnite.gg/img/items/5863/icon.jpg?4,Black Ops Sword
https://fnggcdn.com/items/5787/video.mp4,https://fortnite.gg/img/items/5787/icon.jpg?4,Pow Pow Crusher
https://fnggcdn.com/items/5650/video.mp4,https://fortnite.gg/img/items/5650/icon.jpg?5,Triple Mint Scepter
https://fnggcdn.com/items/5649/video.mp4,https://fortnite.gg/img/items/5649/icon.jpg?5,Freshbreaker
https://fnggcdn.com/items/5648/video.mp4,https://fortnite.gg/img/items/5648/icon.jpg?5,Minty Mountaineer
https://fnggcdn.com/items/5779/video.mp4,https://fortnite.gg/img/items/5779/icon.jpg?4,Chipote Chillón
https://fnggcdn.com/items/5761/video.mp4,https://fortnite.gg/img/items/5761/icon.jpg?9,Serrated Steelblades
https://fnggcdn.com/items/5719/video.mp4,https://fortnite.gg/img/items/5719/icon.jpg?4,Antimatter Pulse
https://fnggcdn.com/items/5689/video.mp4,https://fortnite.gg/img/items/5689/icon.jpg?6,Death Metal Scythe
https://fnggcdn.com/items/5718/video.mp4,https://fortnite.gg/img/items/5718/icon.jpg?4,Reality Render
https://fnggcdn.com/items/4736/video.mp4,https://fortnite.gg/img/items/4736/icon.jpg?4,Drive Shaft
https://fnggcdn.com/items/5696/video.mp4,https://fortnite.gg/img/items/5696/icon.jpg?5,Stun Rod
https://fnggcdn.com/items/5695/video.mp4,https://fortnite.gg/img/items/5695/icon.jpg?5,HOT DOGGER
https://fnggcdn.com/items/5615/video.mp4,https://fortnite.gg/img/items/5615/icon.jpg?4,Cursed Crescent
https://fnggcdn.com/items/5681/video.mp4,https://fortnite.gg/img/items/5681/icon.jpg?4,Ancient Staff
https://fnggcdn.com/items/5671/video.mp4,https://fortnite.gg/img/items/5671/icon.jpg?6,Spacefarer Lightscythe
https://fnggcdn.com/items/5616/video.mp4,https://fortnite.gg/img/items/5616/icon.jpg?4,Brokenheart Slicer
https://fnggcdn.com/items/5660/video.mp4,https://fortnite.gg/img/items/5660/icon.jpg?4,Maker Hooks
https://fnggcdn.com/items/5661/video.mp4,https://fortnite.gg/img/items/5661/icon.jpg?4,Twinblades
https://fnggcdn.com/items/5618/video.mp4,https://fortnite.gg/img/items/5618/icon.jpg?4,Corrupted Rift Edges
https://fnggcdn.com/items/5617/video.mp4,https://fortnite.gg/img/items/5617/icon.jpg?4,Giant Jelly Sourfish
https://fnggcdn.com/items/5411/video.mp4,https://fortnite.gg/img/items/5411/icon.jpg?9,Zen Axe
https://fnggcdn.com/items/5620/video.mp4,https://fortnite.gg/img/items/5620/icon.jpg?4,Perfect Prop Pickaxe
https://fnggcdn.com/items/5619/video.mp4,https://fortnite.gg/img/items/5619/icon.jpg?4,All-Weather Extractor
https://fnggcdn.com/items/5601/video.mp4,https://fortnite.gg/img/items/5601/icon.jpg?4,Walker Club
https://fnggcdn.com/items/5568/video.mp4,https://fortnite.gg/img/items/5568/icon.jpg?4,The Axe-Ray
https://fnggcdn.com/items/5569/video.mp4,https://fortnite.gg/img/items/5569/icon.jpg?4,Chimeraxes
https://fnggcdn.com/items/5595/video.mp4,https://fortnite.gg/img/items/5595/icon.jpg?4,Grave Robber
https://fnggcdn.com/items/5570/video.mp4,https://fortnite.gg/img/items/5570/icon.jpg?4,Might & Malice
https://fnggcdn.com/items/5565/video.mp4,https://fortnite.gg/img/items/5565/icon.jpg?4,Cube Axe
https://fnggcdn.com/items/5588/video.mp4,https://fortnite.gg/img/items/5588/icon.jpg?9,Mutagen Mace
https://fnggcdn.com/items/5545/video.mp4,https://fortnite.gg/img/items/5545/icon.jpg?6,Symbiote Scythe
https://fnggcdn.com/items/5549/video.mp4,https://fortnite.gg/img/items/5549/icon.jpg?4,Hooplah Hammer
https://fnggcdn.com/items/5529/video.mp4,https://fortnite.gg/img/items/5529/icon.jpg?4,Speed Sneaker
https://fnggcdn.com/items/5413/video.mp4,https://fortnite.gg/img/items/5413/icon.jpg?4,Dark Blessing
https://fnggcdn.com/items/5369/video.mp4,https://fortnite.gg/img/items/5369/icon.jpg?6,Janky's Dead Fish
https://fnggcdn.com/items/5497/video.mp4,https://fortnite.gg/img/items/5497/icon.jpg?6,Carnage Cleaver
https://fnggcdn.com/items/5502/video.mp4,https://fortnite.gg/img/items/5502/icon.jpg?4,Stringles
https://fnggcdn.com/items/5501/video.mp4,https://fortnite.gg/img/items/5501/icon.jpg?4,Solar Slicer
https://fnggcdn.com/items/5500/video.mp4,https://fortnite.gg/img/items/5500/icon.jpg?4,Demonslayer Blade
https://fnggcdn.com/items/5499/video.mp4,https://fortnite.gg/img/items/5499/icon.jpg?4,Torin's Lightblade
https://fnggcdn.com/items/5496/video.mp4,https://fortnite.gg/img/items/5496/icon.jpg?4,The Big Spoon
https://fnggcdn.com/items/5498/video.mp4,https://fortnite.gg/img/items/5498/icon.jpg?2,Kor Flails
https://fnggcdn.com/items/5412/video.mp4,https://fortnite.gg/img/items/5412/icon.jpg?4,Pluxarian Floraxe
https://fnggcdn.com/items/5348/video.mp4,https://fortnite.gg/img/items/5348/icon.jpg?4,Galaxy Starblades
https://fnggcdn.com/items/5350/video.mp4,https://fortnite.gg/img/items/5350/icon.jpg?5,Prop Chop
https://fnggcdn.com/items/5425/video.mp4,https://fortnite.gg/img/items/5425/icon.jpg?6,Blades of Brother Hand
https://fnggcdn.com/items/5371/video.mp4,https://fortnite.gg/img/items/5371/icon.jpg?11,Burning Fangs
https://fnggcdn.com/items/5182/video.mp4,https://fortnite.gg/img/items/5182/icon.jpg?6,Aquari-Axe
https://fnggcdn.com/items/5349/video.mp4,https://fortnite.gg/img/items/5349/icon.jpg?4,Qwerty Axe
https://fnggcdn.com/items/5370/video.mp4,https://fortnite.gg/img/items/5370/icon.jpg?22,Loose Cannon Cutters
https://fnggcdn.com/items/5355/video.mp4,https://fortnite.gg/img/items/5355/icon.jpg?4,Far Out Vibes
https://fnggcdn.com/items/5373/video.mp4,https://fortnite.gg/img/items/5373/icon.jpg?8,Real
https://fnggcdn.com/items/5354/video.mp4,https://fortnite.gg/img/items/5354/icon.jpg?4,Vox Mane
https://fnggcdn.com/items/5353/video.mp4,https://fortnite.gg/img/items/5353/icon.jpg?4,Vox Fangs
https://fnggcdn.com/items/5372/video.mp4,https://fortnite.gg/img/items/5372/icon.jpg?6,Space Snake
https://fnggcdn.com/items/5352/video.mp4,https://fortnite.gg/img/items/5352/icon.jpg?6,Athena's Battleaxe
https://fnggcdn.com/items/5255/video.mp4,https://fortnite.gg/img/items/5255/icon.jpg?4,Freezie Friendz
https://fnggcdn.com/items/5307/video.mp4,https://fortnite.gg/img/items/5307/icon.jpg?6,The Godslayer
https://fnggcdn.com/items/5286/video.mp4,https://fortnite.gg/img/items/5286/icon.jpg?5,Guile's Knuckle Buster
https://fnggcdn.com/items/5285/video.mp4,https://fortnite.gg/img/items/5285/icon.jpg?5,Delta Red Bowie Blade
https://fnggcdn.com/items/5298/video.mp4,https://fortnite.gg/img/items/5298/icon.jpg?6,7 Rings Smasher
